Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Topup,Current,2025-11-09 15:37:36,2025-11-09 15:39:05,Open banking top-up,100.00,0.00,EUR,COMPLETED,100.00
Charge,Current,2025-11-09 15:41:08,2025-11-09 15:41:09,Card Delivery Fee,0.00,7.99,EUR,COMPLETED,92.01
Topup,Current,2025-11-10 16:52:29,2025-11-10 16:53:49,Open banking top-up,80.00,0.00,EUR,COMPLETED,172.01
Topup,Current,2025-11-10 17:01:13,2025-11-10 17:01:14,Payment from USMAN KHAN,383.50,0.00,EUR,COMPLETED,555.51
Transfer,Current,2025-11-10 17:04:58,2025-11-10 17:04:58,To pocket EUR Monthly from EUR,-100.00,0.00,EUR,COMPLETED,455.51
Card Payment,Current,2025-11-10 13:35:22,2025-11-11 11:49:34,Amazon,-29.99,0.00,EUR,COMPLETED,425.52
Card Payment,Current,2025-11-10 14:29:57,2025-11-11 11:49:35,Amazon,-31.55,0.00,EUR,COMPLETED,393.97
Card Payment,Current,2025-11-10 13:36:09,2025-11-11 12:46:43,Amazon,-7.64,0.00,EUR,COMPLETED,386.33
Topup,Current,2025-11-13 15:51:16,2025-11-13 15:51:16,Payment from HIDAN MARWA,65.23,0.00,EUR,COMPLETED,451.56
Card Payment,Current,2025-11-13 14:06:44,2025-11-14 03:15:00,Temu,-161.44,0.00,EUR,COMPLETED,290.12
Card Refund,Current,2025-11-14 02:13:59,2025-11-15 06:36:36,Temu,36.53,0.00,EUR,COMPLETED,326.65
Card Payment,Current,2025-11-14 18:21:36,2025-11-15 11:57:29,Apple,-39.49,0.00,EUR,COMPLETED,287.16
Transfer,Current,2025-11-25 13:33:12,2025-11-25 13:33:12,Transfer from TAMIL ALAGAN JEVALAGGAAN,11.39,0.00,EUR,COMPLETED,298.55
Card Payment,Current,2025-11-26 20:56:23,2025-11-27 03:30:54,Wolt,-7.26,0.00,EUR,COMPLETED,291.29
Card Refund,Current,2025-11-25 16:20:25,2025-11-27 03:43:41,Temu,21.01,0.00,EUR,COMPLETED,312.30
Topup,Current,2025-11-27 15:42:25,2025-11-27 15:43:52,Open banking top-up,60.50,0.00,EUR,COMPLETED,372.80
Transfer,Current,2025-11-27 22:23:00,2025-11-27 22:23:00,Transfer to Mahmoud Ragab Hassan Elnezely,-40.00,0.00,EUR,COMPLETED,332.80
Transfer,Current,2025-11-28 14:56:38,2025-11-28 14:56:38,To pocket EUR Monthly from EUR,-200.00,0.00,EUR,COMPLETED,132.80
Exchange,Current,2025-11-28 15:03:26,2025-11-28 15:03:26,Exchanged to SAR,-10.00,0.00,EUR,COMPLETED,122.80
Card Payment,Current,2025-12-01 13:26:50,2025-12-02 16:56:48,Windsurf,-15.42,0.00,EUR,COMPLETED,107.38
Card Payment,Current,2025-12-02 19:24:11,2025-12-03 12:19:18,Crf Sarreguemine,-12.00,0.00,EUR,COMPLETED,95.38
Transfer,Current,2025-12-04 22:25:56,2025-12-04 22:25:56,Transfer to VENJALIN RAVINDRAN,-28.00,0.00,EUR,COMPLETED,67.38
Transfer,Current,2025-12-05 20:37:50,2025-12-05 20:37:50,Transfer from MOHAMMED ESAM SALEH HALBOUP,3.40,0.00,EUR,COMPLETED,70.78
Transfer,Current,2025-12-09 17:23:35,2025-12-09 17:23:36,Transfer to MOHAMMED ESAM SALEH HALBOUP,-3.49,0.00,EUR,COMPLETED,67.29
Reward,Current,2025-12-10 10:58:23,2025-12-10 10:58:23,Referral reward,100.00,0.00,EUR,COMPLETED,167.29
Transfer,Current,2025-12-10 11:07:16,2025-12-10 11:07:16,Transfer to VENJALIN RAVINDRAN,-100.00,0.00,EUR,COMPLETED,67.29
Exchange,Current,2025-12-10 11:17:53,2025-12-10 11:17:53,Exchanged to SAR,-10.00,0.00,EUR,COMPLETED,57.29
Topup,Current,2025-12-10 16:35:34,2025-12-10 16:36:51,Open banking top-up,300.00,0.00,EUR,COMPLETED,357.29
Transfer,Current,2025-12-10 16:37:25,2025-12-10 16:37:26,Transfer to MOHAMMED ESAM SALEH HALBOUP,-151.50,0.00,EUR,COMPLETED,205.79
Transfer,Current,2025-12-10 19:11:26,2025-12-10 19:11:26,Transfer from MOHAMMED ESAM SALEH HALBOUP,6.80,0.00,EUR,COMPLETED,212.59
Rev Payment,Current,2025-12-11 07:21:19,2025-12-11 07:21:20,wizzair.com*Budapest,-24.68,0.00,EUR,COMPLETED,187.91
Transfer,Current,2025-12-20 18:29:23,2025-12-20 18:29:24,Transfer from VENJALIN RAVINDRAN,23.00,0.00,EUR,COMPLETED,210.91
Transfer,Current,2025-12-23 23:41:16,2025-12-23 23:41:16,Transfer to MOHAMMED ESAM SALEH HALBOUP,-210.00,0.00,EUR,COMPLETED,0.91
Transfer,Current,2025-12-24 02:23:40,2025-12-24 02:23:40,Transfer from MOHAMMED ESAM SALEH HALBOUP,350.00,0.00,EUR,COMPLETED,350.91
Card Payment,Current,2026-01-01 14:50:19,2026-01-02 14:00:06,Windsurf,-15.29,0.00,EUR,COMPLETED,335.62
Transfer,Current,2026-01-03 23:47:34,2026-01-03 23:47:34,Transfer to MOHAMMED ESAM SALEH HALBOUP,-7.50,0.00,EUR,COMPLETED,328.12
Card Payment,Current,2026-01-05 15:35:07,2026-01-06 11:59:33,ROSSMANN,-1.99,0.00,EUR,COMPLETED,326.13
Transfer,Current,2026-01-07 14:54:34,2026-01-07 14:54:34,Transfer to MOHAMMED ESAM SALEH HALBOUP,-50.20,0.00,EUR,COMPLETED,275.93
Exchange,Current,2026-01-07 17:13:12,2026-01-07 17:13:12,Exchanged to EUR,19.58,0.00,EUR,COMPLETED,295.51
Transfer,Current,2026-01-07 17:13:43,2026-01-07 17:13:43,To pocket EUR Monthly from EUR,-100.00,0.00,EUR,COMPLETED,195.51
Card Payment,Current,2026-01-09 15:13:24,2026-01-10 12:48:21,dm drogerie,-4.40,0.00,EUR,COMPLETED,191.11
Card Payment,Current,2026-01-09 16:02:20,2026-01-10 12:51:32,Tedi,-8.00,0.00,EUR,COMPLETED,183.11
Card Payment,Current,2026-01-09 15:51:24,2026-01-10 12:52:38,ALDI,-5.77,0.00,EUR,COMPLETED,177.34
Card Payment,Current,2026-01-09 15:24:43,2026-01-11 11:45:24,EuroShop,-8.60,0.00,EUR,COMPLETED,168.74
Transfer,Current,2026-01-12 10:34:30,2026-01-12 10:34:31,Transfer from MOHAMMED ESAM SALEH HALBOUP,29.50,0.00,EUR,COMPLETED,198.24
Transfer,Current,2026-01-16 19:36:29,2026-01-16 19:36:29,Transfer from Sueda Baran,4.80,0.00,EUR,COMPLETED,203.04
Transfer,Current,2026-01-17 12:51:08,2026-01-17 12:51:08,Transfer from Yousef Mostafa Farouk Farag,4.80,0.00,EUR,COMPLETED,207.84
Topup,Current,2026-01-18 14:06:56,2026-01-18 14:06:57,Payment from ELIAS SHEIKH,4.80,0.00,EUR,COMPLETED,212.64
Transfer,Current,2026-01-18 14:26:53,2026-01-18 14:26:53,Transfer to Sueda Baran,-2.00,0.00,EUR,COMPLETED,210.64
Transfer,Current,2026-01-18 20:46:29,2026-01-18 20:46:29,Transfer from Mahmoud Ragab Hassan Elnezely,1.00,0.00,EUR,COMPLETED,211.64
Transfer,Current,2026-01-18 20:46:48,2026-01-18 20:46:48,Transfer from Mahmoud Ragab Hassan Elnezely,1.00,0.00,EUR,COMPLETED,212.64
Transfer,Current,2026-01-18 20:47:00,2026-01-18 20:47:00,Transfer from Mahmoud Ragab Hassan Elnezely,1.00,0.00,EUR,COMPLETED,213.64
Transfer,Current,2026-01-18 20:47:15,2026-01-18 20:47:15,Transfer from Mahmoud Ragab Hassan Elnezely,1.00,0.00,EUR,COMPLETED,214.64
Transfer,Current,2026-01-18 21:05:05,2026-01-18 21:05:05,Transfer from Mahmoud Ragab Hassan Elnezely,0.10,0.00,EUR,COMPLETED,214.74
Transfer,Current,2026-01-19 12:01:44,2026-01-19 12:01:45,Transfer from Mahmoud Ragab Hassan Elnezely,0.10,0.00,EUR,COMPLETED,214.84
Topup,Current,2026-01-19 12:06:10,2026-01-19 12:06:11,Payment from JEVALAGGAAN A/L ALAGAN,4.80,0.00,EUR,COMPLETED,219.64
Transfer,Current,2026-01-20 17:58:18,2026-01-20 17:58:18,Pocket Withdrawal,50.00,0.00,EUR,COMPLETED,269.64
Transfer,Current,2026-01-20 17:58:37,2026-01-20 17:58:37,To pocket EUR Monthly from EUR,-100.00,0.00,EUR,COMPLETED,169.64
Transfer,Current,2026-01-21 14:18:33,2026-01-21 14:18:33,Transfer to VENJALIN RAVINDRAN,-5.00,0.00,EUR,COMPLETED,164.64
Transfer,Current,2026-01-22 22:03:41,2026-01-22 22:03:41,Transfer to Mahmoud Ragab Hassan Elnezely,-8.00,0.00,EUR,COMPLETED,156.64
Transfer,Current,2026-01-22 22:05:18,2026-01-22 22:05:19,Transfer from Mahmoud Ragab Hassan Elnezely,8.00,0.00,EUR,COMPLETED,164.64
Transfer,Current,2026-01-22 22:05:42,2026-01-22 22:05:42,Transfer from Mahmoud Ragab Hassan Elnezely,0.10,0.00,EUR,COMPLETED,164.74
Transfer,Current,2026-01-22 22:18:17,2026-01-22 22:18:17,Transfer from Mahmoud Ragab Hassan Elnezely,0.10,0.00,EUR,COMPLETED,164.84
Transfer,Current,2026-01-24 14:23:32,2026-01-24 14:23:33,Transfer from MOHAMMED ESAM SALEH HALBOUP,5.00,0.00,EUR,COMPLETED,169.84
Card Payment,Current,2026-01-24 12:20:10,2026-01-25 11:17:54,Netto Marken-Discount,-23.69,0.00,EUR,COMPLETED,146.15
Topup,Current,2026-01-26 09:51:46,2026-01-26 09:51:48,Payment from SAAD IQBAL MALICK,1000.00,0.00,EUR,COMPLETED,1146.15
Transfer,Current,2026-01-26 10:11:07,2026-01-26 10:11:08,To Usman Khan,-700.00,0.00,EUR,COMPLETED,446.15
Transfer,Current,2026-01-26 10:27:48,2026-01-26 10:27:49,Transfer to MOHAMMED ESAM SALEH HALBOUP,-3.00,0.00,EUR,COMPLETED,443.15
Transfer,Current,2026-01-26 10:29:16,2026-01-26 10:29:17,Transfer to MOHAMMED ESAM SALEH HALBOUP,-2.00,0.00,EUR,COMPLETED,441.15
Card Payment,Current,2026-01-26 09:31:20,2026-01-27 13:38:45,Eventix,-31.43,0.00,EUR,COMPLETED,409.72
Card Payment,Current,2026-01-27 18:31:39,2026-01-28 10:34:54,ROSSMANN,-16.16,0.00,EUR,COMPLETED,393.56
Transfer,Current,2026-01-28 17:37:19,2026-01-28 17:37:19,Pocket Withdrawal,7.07,0.00,EUR,COMPLETED,400.63
Transfer,Current,2026-01-28 17:43:21,2026-01-28 17:43:23,To Universität des Saarlandes,-394.30,0.00,EUR,COMPLETED,6.33
Transfer,Current,2026-01-30 18:06:42,2026-01-30 18:06:42,To pocket EUR Monthly from EUR,-6.33,0.00,EUR,COMPLETED,0.00
Topup,Current,2026-01-30 18:08:23,2026-01-30 18:09:41,Open banking top-up,124.17,0.00,EUR,COMPLETED,124.17
Transfer,Current,2026-01-30 18:10:50,2026-01-30 18:10:50,Pocket Withdrawal,6.33,0.00,EUR,COMPLETED,130.50
Transfer,Current,2026-01-30 18:11:00,2026-01-30 18:11:00,To pocket EUR Monthly from EUR,-120.00,0.00,EUR,COMPLETED,10.50
Transfer,Current,2026-01-31 11:24:58,2026-01-31 11:24:59,Transfer from Mahmoud Ragab Hassan Elnezely,0.40,0.00,EUR,COMPLETED,10.90
Transfer,Current,2026-02-01 10:24:22,2026-02-01 10:24:22,Transfer to MOHAMMED ESAM SALEH HALBOUP,-2.75,0.00,EUR,COMPLETED,8.15
Topup,Current,2026-02-06 17:55:05,2026-02-06 17:57:02,Open banking top-up,100.00,0.00,EUR,COMPLETED,108.15
Transfer,Current,2026-02-06 17:57:18,2026-02-06 17:57:18,Transfer to VENJALIN RAVINDRAN,-30.00,0.00,EUR,COMPLETED,78.15
Topup,Current,2026-02-12 16:43:12,2026-02-12 16:48:46,Open banking top-up,100.00,0.00,EUR,COMPLETED,178.15
Transfer,Current,2026-02-12 22:50:55,2026-02-12 22:50:55,Transfer to MOHAMMED ESAM SALEH HALBOUP,-7.83,0.00,EUR,COMPLETED,170.32
Card Payment,Current,2026-02-12 16:37:51,2026-02-13 12:35:04,Deutsche Bahn,-37.99,0.00,EUR,COMPLETED,132.33
Card Payment,Current,2026-02-12 16:50:06,2026-02-13 12:35:15,Deutsche Bahn,-43.99,0.00,EUR,COMPLETED,88.34
Topup,Current,2026-02-13 15:22:27,2026-02-13 15:22:28,Payment from KARIM HACKMANN,82.00,0.00,EUR,COMPLETED,170.34
Card Payment,Current,2026-02-13 12:56:02,2026-02-14 13:04:19,Netto Marken-Discount,-15.43,0.00,EUR,COMPLETED,154.91
Transfer,Current,2026-02-15 13:47:44,2026-02-15 13:47:44,Transfer from MOHAMMED ESAM SALEH HALBOUP,15.00,0.00,EUR,COMPLETED,169.91
Transfer,Current,2026-02-15 14:03:12,2026-02-15 14:03:13,Transfer from MOHAMMED ESAM SALEH HALBOUP,3.00,0.00,EUR,COMPLETED,172.91
Transfer,Current,2026-02-15 14:05:55,2026-02-15 14:05:58,To Saad Iqbal Malick,-6.00,0.00,EUR,COMPLETED,166.91
Transfer,Current,2026-02-17 19:36:42,2026-02-17 19:36:43,Transfer to MOHAMMED ESAM SALEH HALBOUP,-7.00,0.00,EUR,COMPLETED,159.91
Transfer,Current,2026-02-19 11:13:52,2026-02-19 11:13:52,Transfer from MOHAMMED ESAM SALEH HALBOUP,1.25,0.00,EUR,COMPLETED,161.16
Card Payment,Current,2026-02-19 19:39:12,2026-02-20 13:50:15,Netto Marken-Discount,-1.90,0.00,EUR,COMPLETED,159.26
Transfer,Current,2026-02-21 23:27:20,2026-02-21 23:27:20,Transfer to MOHAMMED ESAM SALEH HALBOUP,-3.73,0.00,EUR,COMPLETED,155.53
Card Payment,Current,2026-02-21 19:46:14,2026-02-22 13:35:34,ALDI,-2.97,0.00,EUR,COMPLETED,152.56
Card Payment,Current,2026-02-21 19:12:16,2026-02-22 13:48:49,Burger King,-2.39,0.00,EUR,COMPLETED,150.17
Transfer,Current,2026-02-24 15:29:32,2026-02-24 15:29:33,Transfer from MOHAMMED ESAM SALEH HALBOUP,1.80,0.00,EUR,COMPLETED,151.97
Transfer,Current,2026-02-24 17:29:56,2026-02-24 17:29:57,To Carolin Brachetti,-10.00,0.00,EUR,COMPLETED,141.97
Card Payment,Current,2026-02-24 14:22:56,2026-02-25 10:19:40,Netto Marken-Discount,-7.74,0.00,EUR,COMPLETED,134.23
Card Payment,Current,2026-02-24 17:37:10,2026-02-25 10:23:03,Netto Marken-Discount,-7.28,0.00,EUR,COMPLETED,126.95
Card Payment,Current,2026-02-25 16:34:26,2026-02-26 12:42:52,Globus,-0.99,0.00,EUR,COMPLETED,125.96
Card Payment,Current,2026-02-25 16:32:21,2026-02-26 12:42:52,Globus,-21.08,0.00,EUR,COMPLETED,104.88
Card Payment,Current,2026-02-26 13:17:02,2026-02-27 17:07:59,CLAUDE,-18.00,0.00,EUR,COMPLETED,86.88
Transfer,Current,2026-02-27 19:03:05,2026-02-27 19:03:05,Transfer from MOHAMMED ESAM SALEH HALBOUP,2.88,0.00,EUR,COMPLETED,89.76
Transfer,Current,2026-02-28 10:15:44,2026-02-28 10:15:44,Pocket Withdrawal,0.62,0.00,EUR,COMPLETED,90.38
Card Payment,Current,2026-02-27 18:59:41,2026-02-28 13:45:03,Lidl,-5.76,0.00,EUR,COMPLETED,84.62
Transfer,Current,2026-03-01 02:03:34,2026-03-01 02:03:35,Transfer from MOHAMMED ESAM SALEH HALBOUP,2.28,0.00,EUR,COMPLETED,86.90
Card Payment,Current,2026-03-01 09:52:47,2026-03-02 09:49:14,Getsafe,-3.15,0.00,EUR,COMPLETED,83.75
Transfer,Current,2026-03-02 14:30:41,2026-03-02 14:30:42,Transfer from MOHAMMED ESAM SALEH HALBOUP,44.50,0.00,EUR,COMPLETED,128.25
Card Payment,Current,2026-03-01 00:39:35,2026-03-03 12:03:02,Aral,-4.58,0.00,EUR,COMPLETED,123.67
Transfer,Current,2026-03-03 20:26:20,2026-03-03 20:26:20,Transfer from VENJALIN RAVINDRAN,5.00,0.00,EUR,COMPLETED,128.67
Transfer,Current,2026-03-04 13:18:33,2026-03-04 13:18:34,Transfer to VENJALIN RAVINDRAN,-5.00,0.00,EUR,COMPLETED,123.67
Transfer,Current,2026-03-04 18:07:45,2026-03-04 18:07:46,Transfer from VENJALIN RAVINDRAN,5.00,0.00,EUR,COMPLETED,128.67
Transfer,Current,2026-03-04 22:16:53,2026-03-04 22:16:53,Transfer from MOHAMMED ESAM SALEH HALBOUP,10.00,0.00,EUR,COMPLETED,138.67
Card Payment,Current,2026-03-04 19:51:59,2026-03-05 12:53:25,Netto Marken-Discount,-14.37,0.00,EUR,COMPLETED,124.30
Card Payment,Current,2026-03-04 19:39:15,2026-03-05 13:59:50,DZ Markt,-5.60,0.00,EUR,COMPLETED,118.70
Transfer,Current,2026-03-06 19:55:49,2026-03-06 19:55:49,Transfer to MOHAMMED ESAM SALEH HALBOUP,-4.19,0.00,EUR,COMPLETED,114.51
Transfer,Current,2026-03-12 00:08:15,2026-03-12 00:08:15,Transfer to MOHAMMED ESAM SALEH HALBOUP,-11.80,0.00,EUR,COMPLETED,102.71
Card Payment,Current,2026-03-17 18:54:03,2026-03-18 10:38:40,Globus,-29.38,0.00,EUR,COMPLETED,73.33
Transfer,Current,2026-03-19 16:55:09,2026-03-19 16:55:09,Transfer from MOHAMMED ESAM SALEH HALBOUP,10.00,0.00,EUR,COMPLETED,83.33
Card Payment,Current,2026-03-20 14:27:49,2026-03-21 11:38:56,ALDI SÜD,-0.90,0.00,EUR,COMPLETED,82.43
Card Payment,Current,2026-03-21 09:29:33,2026-03-22 10:09:01,Netto Marken-Discount,-8.11,0.00,EUR,COMPLETED,74.32
Transfer,Current,2026-03-23 00:19:23,2026-03-23 00:19:23,Transfer to VENJALIN RAVINDRAN,-10.00,0.00,EUR,COMPLETED,64.32
Card Payment,Current,2026-03-23 12:57:21,2026-03-24 11:55:30,Netto Marken-Discount,-4.09,0.00,EUR,COMPLETED,60.23
Transfer,Current,2026-03-24 18:17:03,2026-03-24 18:17:04,Transfer to MOHAMMED ESAM SALEH HALBOUP,-20.00,0.00,EUR,COMPLETED,40.23
Card Payment,Current,2026-03-24 11:21:55,2026-03-25 11:39:01,Bereket Meat Company,-29.98,0.00,EUR,COMPLETED,10.25
Topup,Current,2026-03-26 14:28:48,2026-03-26 14:29:56,Open banking top-up,100.00,0.00,EUR,COMPLETED,110.25
Transfer,Current,2026-03-26 14:30:26,2026-03-26 14:30:26,Transfer to MOHAMMED ESAM SALEH HALBOUP,-25.00,0.00,EUR,COMPLETED,85.25
Transfer,Current,2026-03-27 22:39:22,2026-03-27 22:39:22,Transfer to VENJALIN RAVINDRAN,-23.00,0.00,EUR,COMPLETED,62.25
Transfer,Current,2026-03-29 01:00:54,2026-03-29 01:00:54,Transfer from MOHAMMED ESAM SALEH HALBOUP,10.85,0.00,EUR,COMPLETED,73.10
Card Payment,Current,2026-03-28 15:05:18,2026-03-29 10:14:57,Getsafe,-3.15,0.00,EUR,COMPLETED,69.95
Card Payment,Current,2026-03-28 13:14:50,2026-03-29 10:37:01,Netto Marken-Discount,-24.01,0.00,EUR,COMPLETED,45.94
Transfer,Current,2026-03-29 19:24:47,2026-03-29 19:24:48,Transfer from VENJALIN RAVINDRAN,18.00,0.00,EUR,COMPLETED,63.94
Transfer,Current,2026-03-29 19:27:39,2026-03-29 19:27:40,Transfer to VENJALIN RAVINDRAN,-7.00,0.00,EUR,COMPLETED,56.94
Card Payment,Current,2026-03-29 18:18:14,2026-03-30 11:05:34,Domino's pizza,-17.23,0.00,EUR,COMPLETED,39.71
